"Stage","SeqNr","Timestamp","Phase","Width","Vprim"
B,1345,9075995,0,145,2339
B,1346,9076130,1,143,1748
B,1347,9082907,0,145,2330
B,1348,9083042,1,142,1750
B,1349,9089819,0,145,2303
B,1350,9089952,1,144,1757
B,1351,9096730,0,145,2264
B,1352,9096865,1,142,1748
B,1353,9103640,0,145,2127
B,1354,9103778,1,140,1743
B,1355,9110552,0,144,2348
B,1356,9110686,1,143,1755
B,1357,9117461,0,145,2334
B,1358,9117597,1,142,1743
B,1359,9124371,0,145,2264
B,1360,9124506,1,143,1743
B,1361,9131282,0,145,2339
B,1362,9131417,1,142,1739
B,1363,9138193,0,145,2341
B,1364,9138330,1,140,1748
B,1365,9145103,0,145,2199
B,1366,9145238,1,143,1746
B,1367,9152016,0,144,2334
B,1368,9152151,1,142,1759
B,1369,9158927,0,145,2341
B,1370,9159064,1,141,1727
B,1371,9165839,0,145,2280
B,1372,9165975,1,141,1734
B,1373,9172751,0,145,2346
B,1374,9172886,1,142,1750
B,1375,9179662,0,145,2337
B,1376,9179799,1,141,1737
B,1377,9186574,0,144,2339
B,1378,9186706,1,145,1768
B,1379,9193485,0,144,2332
B,1380,9193619,1,143,1743
B,1381,9200396,0,145,2337
B,1382,9200532,1,142,1741
B,1383,9207308,0,145,2192
B,1384,9207441,1,144,1768
B,1385,9214220,0,145,2334
B,1386,9214355,1,143,1755
B,1387,9221133,0,144,2305
B,1388,9221267,1,143,1755
B,1389,9228046,0,144,2194
B,1390,9228182,1,141,1752
B,1391,9234959,0,145,2253
B,1392,9235094,1,142,1743
B,1393,9241872,0,145,2337
B,1394,9242007,1,143,1741
B,1395,9248786,0,144,2289
B,1396,9248921,1,142,1755
B,1397,9255698,0,145,2339
B,1398,9255835,1,141,1662
B,1399,9262610,0,145,2264
B,1400,9262744,1,143,1757
B,1401,9269521,0,145,2237
B,1402,9269655,1,144,1757
B,1403,9276433,0,145,2231
B,1404,9276568,1,142,1746
B,1405,9283346,0,145,2348
B,1406,9283481,1,142,1741
B,1407,9290258,0,145,2341
B,1408,9290395,1,140,1743
B,1409,9297170,0,145,2307
B,1410,9297305,1,142,1752
B,1411,9304082,0,145,2337
B,1412,9304215,1,145,1761
B,1413,9310995,0,145,2201
B,1414,9311132,1,140,1741
B,1415,9317907,0,145,2217
B,1416,9318042,1,142,1743
B,1417,9324819,0,144,2334
B,1418,9324954,1,142,1757
B,1419,9331731,0,145,2339
B,1420,9331866,1,142,1739
B,1421,9338645,0,144,2298
B,1422,9338777,1,145,1770
B,1423,9345559,0,144,2325
B,1424,9345694,1,142,1748
B,1425,9352472,0,145,2355
B,1426,9352607,1,142,1768
B,1427,9359386,0,145,2447
B,1428,9359521,1,142,1834
B,1429,9366299,0,145,2359
B,1430,9366434,1,143,1727
B,1431,9373212,0,145,2314
B,1432,9373348,1,141,1741
B,1433,9380123,0,145,2348
B,1434,9380258,1,142,1761
B,1435,9387035,0,144,2305
B,1436,9387170,1,142,1730
B,1437,9393947,0,145,2339
B,1438,9394082,1,142,1750
B,1439,9400860,0,145,2330
B,1440,9400996,1,141,1743
B,1441,9407772,0,145,2339
B,1442,9407908,1,142,1773
B,1443,9414683,0,145,2343
B,1444,9414817,1,144,1766
B,1445,9421595,0,145,2334
B,1446,9421728,1,145,1764
B,1447,9428508,0,145,2334
B,1448,9428643,1,142,1743
B,1449,9435420,0,145,2337
B,1450,9435553,1,145,1759
B,1451,9442333,0,145,2400
B,1452,9442468,1,143,1755
B,1453,9449247,0,144,2255
B,1454,9449382,1,142,1750
B,1455,9456159,0,145,2298
B,1456,9456294,1,143,1746
B,1457,9463073,0,145,2334
B,1458,9463207,1,144,1757
B,1459,9469986,0,145,2334
B,1460,9470123,1,141,1730
B,1461,9476899,0,144,2330
B,1462,9477034,1,142,1748
B,1463,9483812,0,145,2285
B,1464,9483947,1,142,1759
B,1465,9490726,0,145,2337
B,1466,9490862,1,141,1730
B,1467,9497639,0,145,2343
B,1468,9497775,1,142,1730
B,1469,9504553,0,145,2321
B,1470,9504688,1,143,1748
B,1471,9511465,0,145,2287
B,1472,9511602,1,140,1727
B,1473,9518378,0,144,2337
B,1474,9518510,1,145,1766
B,1475,9525289,0,145,2334
B,1476,9525426,1,141,1746
B,1477,9532201,0,145,2341
B,1478,9532337,1,142,1741
B,1479,9539114,0,145,2332
B,1480,9539249,1,142,1750
B,1481,9546028,0,145,2330
B,1482,9546165,1,140,1730
B,1483,9552941,0,145,2328
B,1484,9553077,1,142,1739
B,1485,9559854,0,145,2332
B,1486,9559991,1,141,1743
B,1487,9566768,0,145,2341
B,1488,9566902,1,143,1755
B,1489,9573682,0,144,2337
B,1490,9573817,1,142,1746
