"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
B,118788,2092495640,1,198,1917
A,127747,2092501838,0,184,2510
A,127748,2092502013,1,181,2068
B,118789,2092504827,0,197,2497
B,118790,2092505014,1,194,1931
A,127749,2092511132,0,183,2515
A,127750,2092511303,1,184,2102
B,118791,2092514144,0,196,2449
B,118792,2092514330,1,193,1906
A,127751,2092520424,0,184,2558
A,127752,2092520596,1,184,2115
B,118793,2092523511,0,194,2508
B,118794,2092523695,1,193,1935
A,127753,2092529717,0,184,2467
A,127754,2092529892,1,181,2079
B,118795,2092532877,0,194,2506
B,118796,2092533062,1,190,1901
A,127755,2092539012,0,184,2422
A,127756,2092539184,1,184,2136
B,118797,2092542241,0,193,2492
B,118798,2092542425,1,189,1912
A,127757,2092548307,0,183,2330
A,127758,2092548479,1,183,2104
B,118799,2092551605,0,191,2508
B,118800,2092551785,1,191,1931
A,127759,2092557601,0,184,2427
A,127760,2092557774,1,183,2093
B,118801,2092560965,0,191,2508
B,118802,2092561144,1,190,1924
A,127761,2092566895,0,184,2492
A,127762,2092567068,1,183,2093
B,118803,2092570322,0,189,2472
B,118804,2092570499,1,189,1910
A,127763,2092576188,0,184,2465
A,127764,2092576361,1,183,2086
B,118805,2092579624,0,187,2506
B,118806,2092579800,1,187,1931
A,127765,2092585482,0,184,2407
A,127766,2092585655,1,183,2104
B,118807,2092588976,0,187,2510
B,118808,2092589151,1,186,1917
A,127767,2092594777,0,184,2443
A,127768,2092594952,1,181,2093
B,118809,2092598326,0,186,2555
B,118810,2092598500,1,185,1921
A,127769,2092604070,0,184,2522
A,127770,2092604243,1,183,2097
B,118811,2092607674,0,184,2499
B,118812,2092607847,1,184,1919
A,127771,2092613363,0,184,2382
A,127772,2092613532,1,187,2104
B,118813,2092616966,0,185,2501
B,118814,2092617143,1,181,1888
A,127773,2092622604,0,185,2452
A,127774,2092622775,1,187,2104
B,118815,2092626259,0,185,2461
B,118816,2092626433,1,183,1910
A,127775,2092631899,0,187,2524
A,127776,2092632075,1,186,2106
B,118817,2092635552,0,185,2465
B,118818,2092635725,1,184,1926
A,127777,2092641198,0,188,2316
A,127778,2092641374,1,188,2093
B,118819,2092644845,0,185,2485
B,118820,2092645018,1,184,1924
A,127779,2092650448,0,189,2506
A,127780,2092650626,1,188,2095
B,118821,2092654140,0,185,2443
B,118822,2092654315,1,183,1906
A,127781,2092659702,0,190,2513
A,127782,2092659880,1,190,2091
B,118823,2092663435,0,185,2413
B,118824,2092663611,1,182,1949
A,127783,2092668956,0,191,2510
A,127784,2092669136,1,190,2093
B,118825,2092672730,0,184,2506
B,118826,2092672904,1,183,1915
A,127785,2092678211,0,192,2413
A,127786,2092678390,1,193,2120
B,118827,2092682023,0,184,2337
B,118828,2092682197,1,183,1906
A,127787,2092687469,0,193,2443
A,127788,2092687651,1,192,2102
B,118829,2092691318,0,184,2431
B,118830,2092691492,1,183,1908
A,127789,2092696729,0,195,2510
A,127790,2092696913,1,194,2104
B,118831,2092700612,0,185,2368
B,118832,2092700787,1,182,1883
A,127791,2092706046,0,196,2454
A,127792,2092706228,1,198,2104
B,118833,2092709907,0,185,2510
B,118834,2092710081,1,183,1915
A,127793,2092715315,0,197,2438
A,127794,2092715500,1,196,2088
B,118835,2092719204,0,185,2504
B,118836,2092719377,1,184,1921
A,127795,2092724584,0,198,2483
A,127796,2092724770,1,198,2106
B,118837,2092728498,0,185,2416
B,118838,2092728675,1,181,1899
A,127797,2092733853,0,199,2492
A,127798,2092734038,1,201,2113
B,118839,2092737792,0,185,2501
B,118840,2092737967,1,182,1906
A,127799,2092743126,0,199,2470
A,127800,2092743314,1,199,2104
B,118841,2092747086,0,184,2492
B,118842,2092747260,1,183,1906
A,127801,2092752400,0,201,2497
A,127802,2092752587,1,202,2154
B,118843,2092756380,0,184,2499
B,118844,2092756554,1,183,1994
A,127803,2092761675,0,202,2524
A,127804,2092761866,1,201,2131
B,118845,2092765673,0,185,2501
B,118846,2092765847,1,183,1910
A,127805,2092771005,0,204,2404
A,127806,2092771200,1,201,2084
B,118847,2092774967,0,185,2366
B,118848,2092775142,1,183,1897
A,127807,2092780287,0,205,2488
A,127808,2092780481,1,204,2113
B,118849,2092784261,0,185,2472
B,118850,2092784436,1,182,1897
A,127809,2092789570,0,206,2458
A,127810,2092789762,1,208,2120
B,118851,2092793554,0,185,2494
B,118852,2092793729,1,182,1921
A,127811,2092798855,0,207,2368
A,127812,2092799053,1,204,2095
B,118853,2092802847,0,185,2508
B,118854,2092803023,1,181,1897
A,127813,2092808141,0,208,2546
A,127814,2092808334,1,210,2120
B,118855,2092812140,0,184,2436
B,118856,2092812314,1,183,1899
A,127815,2092817430,0,209,2375
A,127816,2092817628,1,208,2109
B,118857,2092821434,0,185,2456
B,118858,2092821607,1,184,1908
A,127817,2092826722,0,210,2413
A,127818,2092826923,1,207,2091
B,118859,2092830727,0,185,2499
B,118860,2092830902,1,183,1901
A,127819,2092836017,0,211,2343
A,127820,2092836220,1,208,2100
B,118861,2092840021,0,185,2494
B,118862,2092840198,1,180,1854
A,127821,2092845314,0,212,2321
A,127822,2092845515,1,212,2122
B,118863,2092849315,0,185,2492
B,118864,2092849489,1,183,1897
A,127823,2092854613,0,214,2492
A,127824,2092854816,1,213,2109
B,118865,2092858562,0,181,2483
B,118866,2092858733,1,183,1899
A,127825,2092864019,0,214,2513
A,127826,2092864221,1,212,2122
B,118867,2092867801,0,187,2519
B,118868,2092867977,1,185,1892
A,127827,2092873423,0,212,2531
A,127828,2092873621,1,214,2131
B,118869,2092877046,0,189,2481
B,118870,2092877227,1,185,1883
A,127829,2092882825,0,211,2474
A,127830,2092883024,1,211,2127
B,118871,2092886349,0,189,2438
B,118872,2092886530,1,186,1892
A,127831,2092892225,0,209,2499
A,127832,2092892422,1,210,2118
B,118873,2092895599,0,191,2465
B,118874,2092895780,1,189,1906
A,127833,2092901621,0,208,2267
A,127834,2092901817,1,208,2007
B,118875,2092904851,0,192,2497
B,118876,2092905033,1,190,1910
A,127835,2092911012,0,207,2494
A,127836,2092911208,1,206,2125
B,118877,2092914102,0,193,2508
B,118878,2092914285,1,191,1915
A,127837,2092920400,0,206,2463
A,127838,2092920594,1,206,2100
B,118879,2092923358,0,193,2422
B,118880,2092923543,1,190,1901
A,127839,2092929787,0,205,2467
A,127840,2092929977,1,207,2118
B,118881,2092932614,0,195,2463
B,118882,2092932799,1,192,1910
A,127841,2092939172,0,204,2488
A,127842,2092939364,1,204,2115
B,118883,2092941873,0,196,2513
B,118884,2092942059,1,194,1915
A,127843,2092948555,0,203,2458
A,127844,2092948745,1,204,2120
B,118885,2092951186,0,198,2506
B,118886,2092951376,1,194,1908
A,127845,2092957937,0,202,2526
A,127846,2092958124,1,204,2100
B,118887,2092960452,0,199,2416
B,118888,2092960641,1,197,1912
A,127847,2092967318,0,200,2560
A,127848,2092967504,1,202,2111
B,118889,2092969723,0,200,2492
B,118890,2092969914,1,196,1912
A,127849,2092976696,0,199,2443
A,127850,2092976883,1,199,2111
B,118891,2092978994,0,201,2497
B,118892,2092979187,1,197,1908
A,127851,2092986071,0,198,2384
A,127852,2092986257,1,198,2118
B,118893,2092988267,0,202,2504
B,118894,2092988457,1,201,1928
A,127853,2092995444,0,197,2470
A,127854,2092995629,1,197,2104
B,118895,2092997542,0,203,2476
B,118896,2092997735,1,200,1919
A,127855,2093004815,0,196,2443
A,127856,2093004998,1,197,2109
B,118897,2093006819,0,204,2474
B,118898,2093007011,1,204,1933
A,127857,2093014185,0,195,2474
A,127858,2093014365,1,198,2115
B,118899,2093016100,0,206,2490
B,118900,2093016295,1,205,1926
A,127859,2093023554,0,194,2465
A,127860,2093023735,1,194,2113
B,118901,2093025436,0,207,2506
B,118902,2093025633,1,205,1921
A,127861,2093032868,0,192,2368
A,127862,2093033048,1,192,2109
B,118903,2093034723,0,208,2488
B,118904,2093034921,1,205,1917
A,127863,2093042179,0,191,2418
A,127864,2093042357,1,192,2113
B,118905,2093044011,0,209,2490
B,118906,2093044210,1,206,1919
A,127865,2093051540,0,190,2397
A,127866,2093051717,1,191,2109
B,118907,2093053302,0,210,2404
B,118908,2093053504,1,205,1903
A,127867,2093060900,0,189,2319
A,127868,2093061076,1,190,2104
B,118909,2093062596,0,211,2497
B,118910,2093062796,1,209,1915
A,127869,2093070255,0,188,2447
A,127870,2093070431,1,188,2176
B,118911,2093071888,0,212,2461
B,118912,2093072089,1,211,1940
A,127871,2093079607,0,187,2384
A,127872,2093079782,1,187,2104
B,118913,2093081183,0,213,2447
B,118914,2093081385,1,212,1926
A,127873,2093088958,0,186,2517
A,127874,2093089133,1,185,2097
B,118915,2093090533,0,215,2497
B,118916,2093090737,1,213,1924
A,127875,2093098255,0,186,2463
A,127876,2093098428,1,186,2106
B,118917,2093099937,0,214,2438
B,118918,2093100143,1,210,1903
A,127877,2093107552,0,186,2458
A,127878,2093107729,1,183,2079
B,118919,2093109341,0,213,2454
B,118920,2093109544,1,210,1915
A,127879,2093116848,0,186,2452
A,127880,2093117022,1,186,2109
B,118921,2093118740,0,212,2447
B,118922,2093118942,1,209,1917
A,127881,2093126144,0,187,2413
A,127882,2093126318,1,186,2106
B,118923,2093128139,0,211,2485
B,118924,2093128341,1,207,1903
A,127883,2093135441,0,186,2348
A,127884,2093135613,1,188,2100
B,118925,2093137535,0,210,2422
B,118926,2093137736,1,207,1912
A,127885,2093144737,0,186,2431
A,127886,2093144911,1,186,2109
B,118927,2093146929,0,207,2499
B,118928,2093147127,1,205,1917
A,127887,2093154031,0,187,2519
A,127888,2093154205,1,186,2111
B,118929,2093156265,0,207,2397
B,118930,2093156464,1,203,1881
A,127889,2093163326,0,187,2504
A,127890,2093163501,1,186,2109
B,118931,2093165652,0,206,2483
B,118932,2093165849,1,202,1908
A,127891,2093172620,0,187,2463
A,127892,2093172794,1,186,2093
B,118933,2093175036,0,205,2479
B,118934,2093175231,1,202,1906
A,127893,2093181916,0,186,2454
A,127894,2093182093,1,183,2073
B,118935,2093184419,0,204,2479
B,118936,2093184615,1,200,1906
A,127895,2093191211,0,187,2524
A,127896,2093191384,1,188,2104
B,118937,2093193801,0,203,2404
B,118938,2093193994,1,200,1901
A,127897,2093200507,0,186,2479
A,127898,2093200679,1,188,2111
B,118939,2093203181,0,202,2438
B,118940,2093203373,1,199,1912
A,127899,2093209803,0,186,2472
A,127900,2093209977,1,186,2100
B,118941,2093212558,0,200,2479
B,118942,2093212748,1,197,1901
A,127901,2093219098,0,186,2474
A,127902,2093219273,1,185,2097
B,118943,2093221879,0,199,2391
B,118944,2093222066,1,199,1926
A,127903,2093228394,0,186,2438
A,127904,2093228568,1,185,2097
B,118945,2093231251,0,198,2494
B,118946,2093231440,1,194,1906
A,127905,2093237690,0,185,2454
A,127906,2093237864,1,185,2134
B,118947,2093240621,0,197,2490
B,118948,2093240807,1,195,1906
A,127907,2093246985,0,186,2434
A,127908,2093247159,1,185,2104
B,118949,2093249987,0,196,2504
B,118950,2093250171,1,196,1919
A,127909,2093256487,0,185,2404
A,127910,2093256658,1,188,2100
B,118951,2093259524,0,194,2494
B,118952,2093259708,1,193,1919
A,127911,2093266549,0,186,2456
A,127912,2093266720,1,189,2104
B,118953,2093269659,0,193,2504
B,118954,2093269843,1,189,1906
A,127913,2093276612,0,186,2465
A,127914,2093276786,1,186,2100
B,118955,2093279734,0,192,2526
B,118956,2093279916,1,190,1903
A,127915,2093286675,0,186,2467
A,127916,2093286851,1,184,2084
B,118957,2093289864,0,191,2515
B,118958,2093290042,1,191,1919
A,127917,2093296738,0,186,2494
A,127918,2093296914,1,184,2084
