"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
B,158,5261644,1,202,1946
A,159,5324266,0,196,2422
A,160,5324452,1,193,2152
B,159,5330116,0,196,2560
B,160,5330302,1,193,1958
A,161,5392510,0,186,2524
A,162,5392683,1,188,2102
B,161,5398358,0,188,2555
B,162,5398534,1,188,1973
A,163,5460736,0,179,2531
A,164,5460901,1,181,2152
B,163,5466585,0,180,2531
B,164,5466753,1,180,1953
A,165,5528960,0,171,2524
A,166,5529119,1,170,2136
B,165,5534811,0,171,2506
B,166,5534972,1,169,1946
A,167,5596777,0,162,2580
A,168,5596928,1,161,2136
B,167,5602626,0,164,2560
B,168,5602779,1,161,1946
A,169,5664189,0,154,2513
A,170,5664329,1,156,2125
B,169,5670429,0,155,2542
B,170,5670571,1,155,1953
A,171,5731581,0,146,2499
A,172,5731714,1,147,2136
B,171,5738214,0,146,2551
B,172,5738349,1,144,1928
A,173,5798971,0,139,2628
A,174,5799100,1,136,2111
B,173,5805212,0,137,2535
B,174,5805339,1,136,1917
A,175,5866340,0,130,2555
A,176,5866454,1,132,2106
B,175,5872187,0,130,2560
B,176,5872307,1,128,1917
A,177,5933295,0,121,2589
A,178,5933403,1,123,2120
B,177,5939143,0,122,2553
B,178,5939256,1,118,1901
A,179,6000243,0,113,2377
A,180,6000345,1,112,2082
B,179,6006090,0,113,2582
B,180,6006191,1,114,1919
A,181,6066772,0,105,2573
A,182,6066865,1,105,2082
B,181,6073011,0,105,2341
B,182,6073105,1,105,1897
A,183,6133291,0,97,2438
A,184,6133374,1,99,2079
B,183,6139528,0,97,2456
B,184,6139614,1,96,1906
A,185,6199785,0,88,2510
A,186,6199860,1,90,1964
B,185,6205631,0,88,2506
B,186,6205708,1,88,1879
A,187,6266260,0,80,2510
A,188,6266329,1,80,2050
B,187,6271713,0,80,2434
B,188,6271783,1,79,1867
A,189,6331940,0,72,2429
A,190,6332002,1,71,2023
B,189,6337392,0,72,2470
B,190,6337451,1,74,1858
A,191,6397613,0,63,2447
A,192,6397663,1,67,2018
B,191,6403062,0,64,2540
B,192,6403116,1,63,1831
A,193,6463259,0,63,2542
A,194,6463310,1,65,2018
B,193,6468708,0,64,2393
B,194,6468762,1,62,1809
A,195,6528912,0,63,2465
A,196,6528963,1,65,2012
B,195,6534360,0,64,2549
B,196,6534413,1,64,1852
A,197,6594549,0,63,2492
A,198,6594602,1,62,1998
B,197,6599997,0,64,2519
B,198,6600049,1,64,1852
A,199,6660191,0,63,2452
A,200,6660244,1,62,2005
B,199,6665637,0,64,2465
B,200,6665689,1,65,1854
A,201,6725840,0,62,2537
A,202,6725890,1,65,1982
B,201,6731288,0,63,2551
B,202,6731341,1,64,1843
A,203,6791485,0,63,2589
A,204,6791535,1,66,2025
B,203,6796933,0,64,2305
B,204,6796987,1,63,1671
A,205,6857121,0,64,2578
A,206,6857171,1,66,2028
B,205,6862568,0,64,2537
B,206,6862619,1,66,1847
A,207,6922757,0,63,2431
A,208,6922806,1,66,2034
B,207,6928203,0,63,2544
B,208,6928255,1,64,1849
A,209,6988390,0,64,2553
A,210,6988440,1,66,2046
B,209,6993838,0,64,2542
B,210,6993893,1,61,1829
A,211,7054027,0,63,2551
A,212,7054079,1,64,2021
B,211,7059474,0,64,2551
B,212,7059525,1,66,1856
A,213,7119662,0,63,2427
A,214,7119713,1,64,2018
B,213,7125109,0,64,2474
B,214,7125164,1,62,1824
A,215,7185302,0,63,2483
A,216,7185353,1,64,2041
B,215,7190750,0,65,2461
B,216,7190802,1,65,1852
A,217,7250959,0,66,2528
A,218,7251011,1,70,2037
B,217,7256408,0,64,2537
B,218,7256462,1,63,1845
A,219,7316623,0,74,2492
A,220,7316686,1,74,2034
B,219,7322064,0,64,2494
B,220,7322118,1,63,1834
A,221,7382291,0,83,2397
A,222,7382364,1,81,2055
B,221,7387712,0,64,2449
